,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
372,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,,,,,,,
373,fstat,mmap2,mprotect,mmap2,mmap2,close,mmap2,mmap2,,,,,,,
374,lseek,write,lseek,write,lseek,write,lseek,write,,,,,,,
375,lseek,lseek,lseek,lseek,lseek,write,lseek,write,,,,,,,
376,read,close,openat,fstat,read,read,close,openat,,,,,,,
377,read,close,openat,fstat,getdents,getdents,close,openat,,,,,,,
378,prlimit64,mmap2,mprotect,clone,prlimit64,mmap2,mprotect,clone,,,,,,,
379,mmap2,mmap2,mmap2,mmap2,mmap2,mmap2,mmap2,mmap2,,,,,,,
380,openat,fstat,write,fdatasync,close,rename,openat,fstat,,,,,,,
381,mprotect,set_tid_address,set_robust_list,rt_sigaction,rt_sigaction,rt_sigprocmask,prlimit64,brk,brk,,,,,,
382,mmap2,mprotect,readlink,mmap2,mmap2,mprotect,mmap2,mprotect,mmap2,,,,,,
383,openat,stat,openat,stat,openat,stat,openat,stat,writev,,,,,,
384,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,rt_sigaction,,,,,,
385,close,openat,openat,stat,openat,stat,openat,stat,openat,,,,,,
386,rt_sigaction,rt_sigaction,getppid,uname,stat,stat,rt_sigaction,rt_sigaction,rt_sigaction,,,,,,
387,close,dup2,close,openat,fcntl,dup2,close,execve,rt_sigaction,,,,,,
388,stat,openat,stat,openat,stat,openat,stat,openat,openat,,,,,,
389,arch_prctl,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,,,,,,
390,close,rt_sigaction,close,dup2,close,openat,fcntl,dup2,close,,,,,,
391,mmap2,mmap2,close,mprotect,openat,lseek,fstat,read,close,,,,,,
392,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,openat,,,,,,
393,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,,,,,,
394,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mmap2,mmap2,,,,,,
395,connect,connect,getsockname,connect,connect,getsockname,connect,connect,getsockname,,,,,,
396,lseek,lseek,lseek,lseek,lseek,lseek,write,lseek,write,,,,,,
397,write,lseek,write,lseek,write,lseek,write,lseek,write,,,,,,
398,read,read,close,openat,fstat,read,read,close,openat,,,,,,
399,stat,stat,stat,stat,stat,stat,stat,stat,stat,,,,,,
400,close,mmap2,arch_prctl,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,,,,,
401,mprotect,mprotect,set_tid_address,set_robust_list,rt_sigaction,rt_sigaction,rt_sigprocmask,prlimit64,brk,brk,,,,,
402,read,close,openat,openat,read,close,openat,read,close,openat,,,,,
403,mmap2,mmap2,mprotect,readlink,mmap2,mmap2,mprotect,mmap2,mprotect,mmap2,,,,,
404,stat,openat,stat,openat,stat,openat,stat,openat,stat,writev,,,,,
405,read,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,rt_sigaction,,,,,
406,mmap2,close,openat,openat,stat,openat,stat,openat,stat,openat,,,,,
407,getpid,rt_sigaction,rt_sigaction,getppid,uname,stat,stat,rt_sigaction,rt_sigaction,rt_sigaction,,,,,
408,openat,stat,openat,stat,openat,stat,openat,stat,openat,openat,,,,,
409,clone,close,rt_sigaction,close,dup2,close,openat,fcntl,dup2,close,,,,,
410,mprotect,mmap2,mmap2,close,mprotect,openat,lseek,fstat,read,close,,,,,
411,dup2,close,dup2,close,openat,fcntl,dup2,close,execve,close,,,,,
412,execve,close,dup2,close,dup2,close,openat,fcntl,dup2,close,,,,,
413,epoll_pwait,epoll_pwait,epoll_pwait,epoll_pwait,epoll_pwait,epoll_pwait,epoll_pwait,epoll_pwait,epoll_pwait,epoll_pwait,,,,,
414,clone,mmap2,mprotect,clone,mmap2,mprotect,clone,mmap2,mprotect,clone,,,,,
