,0,1,2,3,4,5,6,7,8,9,10
10175,eventfd2,write,rt_sigprocmask,rt_sigprocmask,20,,,,,,
10176,fcntl,close,close,close,20,,,,,,
10177,fcntl,close,openat,openat,20,,,,,,
10178,fcntl,openat,close,20,,,,,,,
10179,fcntl,openat,close,openat,20,,,,,,
10180,fcntl,openat,close,openat,openat,20,,,,,
10181,fcntl,openat,openat,20,,,,,,,
10182,fcntl,openat,openat,openat,20,,,,,,
10183,fcntl,read,read,20,,,,,,,
10184,fcntl,read,read,close,20,,,,,,
10185,fstat,futex,20,,,,,,,,
10186,fstat,getdents,getdents,close,20,,,,,,
10187,fstat,getdents,getdents,close,openat,20,,,,,
10188,fstat,read,read,close,openat,20,,,,,
10189,fstat,read,read,openat,20,,,,,,
10190,fstat,stat,20,,,,,,,,
10191,fstat,write,write,write,20,,,,,,
10192,futex,fstat,read,20,,,,,,,
10193,futex,futex,epoll_ctl,20,,,,,,,
10194,futex,futex,futex,futex,mmap2,20,,,,,
10195,getdents,getdents,close,20,,,,,,,
10196,getdents,getdents,close,openat,20,,,,,,
10197,ioctl,writev,writev,writev,writev,20,,,,,
10198,mmap2,brk,mmap2,20,,,,,,,
10199,mmap2,mmap2,arch_prctl,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,20,
10200,mmap2,mmap2,mmap2,mprotect,mmap2,mprotect,20,,,,
10201,mmap2,mmap2,read,mmap2,mprotect,mmap2,mmap2,20,,,
10202,mmap2,mmap2,read,mprotect,mmap2,mmap2,20,,,,
10203,mmap2,munmap,mmap2,20,,,,,,,
10204,mmap2,openat,read,read,20,,,,,,
10205,mmap2,rt_sigaction,20,,,,,,,,
10206,mprotect,mprotect,mmap2,mprotect,mprotect,20,,,,,
10207,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,rt_sigaction,20,,,
10208,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,set_robust_list,20,,,
10209,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,set_robust_list,rt_sigaction,20,,
10210,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,set_tid_address,20,,,
