,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
401,writev,writev,writev,writev,writev,writev,writev,writev,writev,writev,writev,writev,writev,writev,writev
402,close,openat,openat,read,close,openat,read,close,openat,read,close,openat,read,close,openat
403,execve,brk,access,openat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat
404,read,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2
405,fstat,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close
406,mmap2,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mmap2
407,socket,connect,close,socket,connect,close,openat,fstat,read,read,close,openat,read,fstat,mmap2
408,connect,close,socket,connect,close,openat,fstat,read,read,close,openat,read,fstat,mmap2,mprotect
409,close,socket,connect,close,openat,fstat,read,read,close,openat,read,fstat,mmap2,mprotect,mmap2
410,socket,connect,close,openat,fstat,read,read,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2
411,connect,close,openat,fstat,read,read,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close
412,close,openat,fstat,read,read,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mprotect
413,openat,fstat,read,read,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mprotect,openat
414,fstat,read,read,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mprotect,openat,lseek
415,read,read,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mprotect,openat,lseek,fstat
416,read,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mprotect,openat,lseek,fstat,read
417,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,mprotect,openat,lseek,fstat,read,close
418,read,close,stat,openat,read,close,openat,read,close,stat,openat,read,close,openat,read
419,close,stat,openat,read,close,openat,read,close,stat,openat,read,close,openat,read,close
420,stat,openat,read,close,openat,read,close,stat,openat,read,close,openat,read,close,stat
421,openat,read,close,openat,read,close,stat,openat,read,close,openat,read,close,stat,openat
422,read,close,openat,read,close,stat,openat,read,close,openat,read,close,stat,openat,read
423,close,openat,read,close,stat,openat,read,close,openat,read,close,stat,openat,read,close
424,openat,read,close,stat,openat,read,close,openat,read,close,stat,openat,read,close,openat
425,read,close,stat,openat,read,close,openat,read,read,close,stat,openat,read,close,openat
426,close,stat,openat,read,close,openat,read,read,close,stat,openat,read,close,openat,read
427,stat,openat,read,close,openat,read,read,close,stat,openat,read,close,openat,read,read
428,openat,read,close,openat,read,read,close,stat,openat,read,close,openat,read,read,close
429,read,close,openat,read,read,close,stat,openat,read,close,openat,read,read,close,stat
430,close,openat,read,read,close,stat,openat,read,close,openat,read,read,close,stat,openat
431,openat,read,read,close,stat,openat,read,close,openat,read,read,close,stat,openat,read
432,read,read,close,stat,openat,read,close,openat,read,read,close,stat,openat,read,close
433,write,write,write,write,write,write,write,write,write,write,write,write,write,write,write
434,close,dup2,close,openat,fcntl,dup2,close,execve,close,dup2,close,dup2,close,openat,fcntl
435,dup2,close,openat,fcntl,dup2,close,execve,close,dup2,close,dup2,close,openat,fcntl,dup2
436,close,openat,fcntl,dup2,close,execve,close,dup2,close,dup2,close,openat,fcntl,dup2,close
437,stat,openat,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close
438,openat,stat,openat,stat,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat
439,mmap2,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat
440,mprotect,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2
441,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect
442,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2
443,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait,epoll_wait
444,nanosleep,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait
445,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep
446,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep
447,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep
448,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait
449,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep,nanosleep,epoll_wait,epoll_wait,nanosleep,nanosleep,nanosleep,epoll_wait,nanosleep
450,lseek,stat,stat,stat,stat,stat,stat,stat,lseek,lseek,lseek,lseek,lseek,lseek,lseek
451,stat,stat,stat,stat,stat,stat,stat,lseek,lseek,lseek,lseek,lseek,lseek,lseek,lseek
452,stat,stat,stat,stat,stat,stat,lseek,lseek,lseek,lseek,lseek,lseek,lseek,lseek,write
453,stat,stat,stat,stat,stat,lseek,lseek,lseek,lseek,lseek,lseek,lseek,lseek,write,lseek
454,stat,stat,stat,stat,lseek,lseek,lseek,lseek,lseek,lseek,lseek,lseek,write,lseek,write
455,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,openat
